AbnormalResources,AntiDebug,BrowserReferences,CompanyName,CryptoUsed,DomainNames,Dropper,FileSize,Filename,HidingImports,IllegitimatePrograms,MalwareFunctions,MalwareType,MatchingCompiler,Overlay,PEiDSignature,Packed,PossibleCompilersCount,UndesirableBehavior,WindowsNativeAPI
False,False,False,unknown,False,True,False,225605,592f61ea76f7f8d966c44d5dfe00da2076ca7dc51e9930f4d54ff67dfcee1075,False,False,False,mofksys,Microsoft Visual Basic v5.0 - v6.0,True,False,False,1,False,False
False,True,False,unknown,False,False,False,22912,6b7663e41c116f3173d2a3caa5f91da52f589781dc258335b9de46c6d397b534,False,True,False,farfli,unknown,False,False,True,0,True,True
False,True,False,unknown,False,False,False,28416,6b7138485784a83176b6d9968f6995c39e5ab01d9fb9b1b416dacaaa22567601,False,True,False,rtkdl,Microsoft Visual C++,False,False,True,1,False,True
False,True,False,unknown,False,False,False,22880,6b7f65c196275cc3050cec6aa7cb9de60664c768a6c28a51fd5930bca82d40f9,False,True,False,farfli,unknown,False,False,True,0,True,True
False,True,False,unknown,False,False,False,23328,41f51e9ac7b74290183349d69d368a7ba4bad0479be086bcd6ed95f285c3169e,False,True,False,graftor,Microsoft Visual C++,False,False,True,1,False,True
False,False,False,unknown,False,False,False,222720,41f0a54a9912e2001ab2f6cc24a0f21cb1419fcec5c882e388f3d9d4336a94a3,False,False,False,bancos,unknown,True,False,True,0,False,False
False,True,False,unknown,False,False,False,49024,41f66cb6bc8c0b27b10c8f45ab2602b07da290c382e3795c26a98c38bf3cc0c3,False,True,False,farfli,unknown,False,False,True,0,False,True
False,False,False,unknown,False,False,False,29056,5b0b53d5e64f27fef24cf913118d5b7c8702ebb0a54cf4cd14e0c4c5d2ddc0ea,False,True,False,koutodoor,Microsoft Visual C++,False,False,True,1,False,True
False,True,False,unknown,False,False,False,30080,41761d5c078c365d7f2c88b921fc998976a15a78bbaf8e0e5fa061aa1348bffe,False,True,False,rtkdl,Microsoft Visual C++,False,False,True,1,False,True
False,False,False,unknown,False,False,False,25084,47bf6a02c126e3f81aa7f63f8697f0d3cf5e8705f0eeed29104c7c7bd92a1f64,False,False,False,tibs,unknown,True,False,True,0,False,False
False,False,False,Microsoft,False,True,False,211878,47b4babfe1ab2ed904afe0c752b593fe00a7229238e655027f3d85d318d20ce9,False,False,False,swisyn,unknown,True,True,False,2,False,False
False,False,False,Winrar,False,False,False,72091,47b3bb4d1965b9b160ded2db1c5489a2be66ed2f115744de10c2f7465b78af6e,True,False,False,meger,unknown,True,True,True,0,False,False
False,False,False,unknown,False,False,False,167936,60e1f4cea00968b34fa4492b81c3ee7690e2703e307426d27feda50480fab15f,False,False,False,bancos,unknown,True,False,True,0,False,False
False,True,False,unknown,False,False,False,5356124,7e77e349a940f93581dbea05347c1c2343a71e9a6b0b4c040fb9dda5951d2ff9,True,False,True,archsms,unknown,True,False,True,0,True,False
False,True,False,unknown,False,False,False,48736,7d56326da968e6fb4b87967f1acb4830e98d1c99a6be2c03d1422913476d0bc2,False,True,False,farfli,unknown,False,False,True,0,False,True
False,False,False,Windows (R) 2000 DDK provider,False,True,False,22272,7d526880e9f3424391f4973e46db4067717fbc80396cd9e19f87977d793bb5bd,False,False,False,rootkit,unknown,True,False,True,0,False,False
False,True,False,unknown,False,False,False,50752,7d512fe68f9529086ef05d81ea735b43d9e5670e1a515ea1237dbee295c537ea,False,True,False,farfli,unknown,False,False,True,0,False,True
False,True,False,unknown,False,False,False,48224,7d508c94a5a5377f3bceecb4607997f4294cdf7027a6357c729c32e4e78f5dd0,False,True,False,farfli,unknown,False,False,True,0,False,True
False,False,False,Microsoft,False,True,False,446538,5807627e8b0dde2e959cc99babbd931cbd0cb6b8f6d1119ace824a459561eff9,False,False,False,swisyn,unknown,True,True,True,2,False,False
False,True,False,unknown,False,False,False,24576,58080e7dc9c21b8804affc5334238ec7b0d6eb168d7a253835a55c65111e3fec,False,True,False,farfli,unknown,False,False,True,0,True,True
False,True,False,unknown,False,False,False,48928,57256c4bc69d50f0d63c440ac30200b80dcb22fe9f32bd8bfb0f9306505a14e3,False,True,False,farfli,unknown,False,False,True,0,False,True
False,False,False,unknown,False,False,False,28960,70c73a132dfc780848d023154a7361d09572ad7787ebd7b3674085786d26c1d9,False,True,False,rootkit,Microsoft Visual C++,False,False,True,1,False,True
False,False,False,unknown,False,False,False,8192,70cb6dc36a540375824bc74b4e4212c546846212556f6c65b14bffee58685393,True,False,False,scar,unknown,False,True,True,0,False,False
False,False,False,unknown,False,False,False,169124,70c0a9e6e6fb7f8c99ffd6c61084b925cf0cf64404020b1282b426c9259be9e4,False,True,False,rootkit,Microsoft Visual C++,True,False,True,1,False,True
False,True,False,unknown,False,False,False,26080,70c648c0a8fcda60390f9aa923c7b3d0b7116fa177b99b0672605583e709b555,False,True,False,farfli,unknown,False,False,True,0,True,True
False,True,False,unknown,False,False,False,23040,6368f44f5a609a05ce566974b531225ea0b763c856839b60b4da9150b89ada3f,False,True,False,farfli,unknown,False,False,True,0,True,True
False,False,False,unknown,False,False,False,28736,5d92bf1066953edeaa9a8459e4f9d1fc837ff5c7d4eedccc4c85bcc2c21574fe,False,True,False,rootkit,unknown,False,False,True,0,False,True
False,True,False,unknown,False,False,False,7582,5d931a4f604b25b5871998f7bbd4d30def4bb1c5d39581387f603ef950b0b939,False,True,False,zapchast,unknown,True,False,True,2,False,False
False,True,False,unknown,False,False,False,48512,5d9dc798d336b03b45bc77053c8abb9487e32c8fd0b55b7a154eee69836ac433,False,True,False,farfli,unknown,False,False,True,0,False,True
False,False,False,unknown,False,False,False,172718,6127ed2837a24902e04556f58719f7aa65fd3ef5746a13aa16bbb402e287b002,False,True,False,rootkit,Microsoft Visual C++,True,False,True,1,False,True
False,True,False,unknown,False,False,False,24704,612ee1cc41eefef83fe5c8b2ed49a1cfab6c20e9bace5a2c597e7c0ef07225c7,False,True,False,farfli,unknown,False,False,True,0,True,True
False,False,False,unknown,False,False,False,28736,6128c6c21fa010a2675be43d02a3c15497eaa729c186ca23b492567b7d218b26,False,True,False,rootkit,unknown,False,False,True,0,False,True
False,False,False,unknown,False,False,False,28960,6124f135caa485995cd2f50ad19b3b311d40e58870c69fb1b8737e7a2d7227b5,False,True,False,rootkit,Microsoft Visual C++,False,False,True,1,False,True
False,False,False,unknown,False,True,False,23552,77b5c12b3da31d5618278fa3af7cab7a17703b54d2c053f0dddb530ffa16daf5,False,False,False,femad,unknown,False,False,True,2,True,False
False,False,False,unknown,False,True,False,192533,66152a6c55ec9322419704f459b0e74e5cc4cf733a935bd289b6bb7e1b9eea61,False,False,False,mofksys,Microsoft Visual Basic v5.0 - v6.0,True,False,False,1,False,False
False,True,False,unknown,False,False,False,1920,661d24afc91e0d15c085263c323eb8c35a02761e19aa4b29329068337a570a2e,False,True,False,rootkit,Microsoft Visual C++ 6.0 - 8.0,False,False,True,1,False,False
False,True,False,unknown,False,False,False,22528,661f4b9f732486e3edb0b6b31dce9324ff369a35bb4fc75c47aef112b2fa1741,False,True,False,farfli,unknown,False,False,True,0,True,True
False,False,False,unknown,False,False,False,352256,66125ab061d4d160519b5b4254824630e890ab520b907608a93586b5847cf9c6,True,True,False,winwebsec,unknown,True,True,True,3,False,False
False,False,False,unknown,False,False,False,28576,661f535a49954c9b5f88cd04ccb4cf0a28d62087c29186a25e5e122d3f0e0fb2,False,True,False,koutodoor,Microsoft Visual C++,False,False,True,1,False,True
False,True,False,unknown,False,False,False,49760,661f816ea82432744fe6cdd2748d195857b6bf1d55baba5ef9f3014b1fc4d109,False,True,False,farfli,unknown,False,False,True,0,False,True
False,False,False,unknown,False,False,False,2432,661a2954abd1e4f040408cec426ff064b0e76d22e9673f4028cca0ba416b2e93,False,False,False,rootkit,Microsoft Visual C++,False,False,True,1,False,False
False,False,False,unknown,False,False,False,224768,705f2fb21cf22d4247683b99594862793595a847ff3c3d63ea14b1dec6ab3d8f,True,False,False,kolab,unknown,False,True,True,0,False,False
False,False,False,unknown,False,False,False,28864,48279c6cf127d934a33937ee41496207d7d49bee8c389639da5204f76fae347a,False,True,False,koutodoor,Microsoft Visual C++,False,False,True,1,False,True
False,True,False,unknown,False,False,False,50560,482636035f371f2cf5c751eaf9e50e3d2c729d26bb748b06939101a9a70440e3,False,True,False,farfli,unknown,False,False,True,0,False,True
False,True,False,unknown,False,False,False,21056,743daddb55a0815211ca1249476bf8020b3e900d30a9269eaf6d54db2c4d9a17,False,True,False,farfli,unknown,False,False,True,0,True,True
False,False,False,unknown,False,False,False,550400,4702da82d6c74e7d515f9e661c2b5736243d384b56f63b9d37224247c829b511,False,False,False,bancos,unknown,True,False,True,0,False,False
False,False,False,Kaspersky Lab ZAO,False,False,False,31744,470946cfff9cbf7395dc7353796f568af7a1ba500f75298d588ebd787290aaf4,True,False,False,graftor,unknown,False,True,True,0,True,False
False,False,False,unknown,False,False,False,95264,6c3874bd600aed92e7360f08b74b2fafaf5b851b6aaf5c32477a1fc4543332d5,False,False,False,tibs,unknown,False,False,True,0,False,False
False,True,False,unknown,False,False,False,22400,6c3ec9254e3407f933bd4c93f02a264201814776bd6b1e70071c0b162417dc44,False,True,False,farfli,unknown,False,False,True,0,True,True
